"Product Title",SKU,"Items Sold","N. Revenue",Orders,Category,Variations,Status,Stock
"Lemongrass Lime Pasta with Glazed Seabass",,7,93.8,3,Pasta,0,N/A,N/A
"Coriander Pesto Pasta with Grilled Prawns",,6,79.8,2,Pasta,0,N/A,N/A
"Grilled Chicken Grain Bowl Snack Box",1101,6,85.5,2,"Salad &amp; Grain Bowl",0,N/A,N/A
"2-Berry Muffin Bundle",793,6,72,1,"Pastries, Same Day Order",0,N/A,N/A
"6""R Ondeh Ondeh Cake",185-1,5,220.5,5,"Bakery, Cakes, Same Day Order, Signature",0,N/A,N/A
"6""R Real Dark Chocolate Cake",188-1,4,175.5,4,"Bakery, Cakes, Same Day Order, Signature",0,N/A,N/A
"Wholemeal Walnut",308,3,17.7,1,"Same Day Order, Singapore's Favourites, Wholewheat",0,N/A,N/A
"Carrot Walnut Cake",159,2,118,2,Signature,5,N/A,N/A
"Wholewheat Sourdough",305,2,13,1,Sourdough,0,N/A,N/A
"Ondeh Ondeh Cake",185,2,90,2,"Signature, Singapore's Favourites",6,N/A,N/A
"Rosemary Chicken Sandwich",653,2,19,2,Burgers/Sandwiches,0,N/A,N/A
"Chocolate Midnight Cookie",848,2,18.5,1,"Cookies, Same Day Order",0,N/A,N/A
"Blue Pea Sourdough",272,2,15,1,Sourdough,0,N/A,N/A
"Hearty Sandwich Set",,2,25,1,Burgers/Sandwiches,0,N/A,N/A
"Assorted Mini Savory Tartlets",,2,56,2,Savoury,0,N/A,N/A
"Cinnamon Swirl",281,2,10.4,2,"Same Day Order, Sweet",0,N/A,N/A
"8""R - Carrot Walnut Cake",,2,118,2,"Bakery, Cakes, Same Day Order, Signature, Singapore's Favourites",0,N/A,N/A
"Charitea Green Iced Tea",1244,1,4.2,1,Beverages,0,N/A,N/A
"Caramel SeaSalt Cheesecake",216,1,45,1,Cheese,7,N/A,N/A
"Red Velvet Cake",189,1,59,1,Signature,5,N/A,N/A
"Spicy Chicken Yum Pasta",,1,11.7,1,Pasta,0,N/A,N/A
"Strawberry Fields Cake",191,1,59,1,Signature,5,N/A,N/A
"Yuzu Raspberry Cheesecake",221,1,45,1,"Cakes, Cheese",6,N/A,N/A
"Assorted Scone Box",,1,25,1,Mix,0,N/A,N/A
"Real Dark Chocolate Slice",141,1,6.75,1,"Same Day Order, Slices",0,N/A,N/A
"Black Forest Cake",155,1,59,1,Signature,5,N/A,N/A
"7""R Burnt Cheesecake",795-1,1,45,1,"Bakery, Cakes, Cheese, Same Day Order",0,N/A,N/A
"Assorted Mini Cheesecake Box [Eggless] [V]",1130,1,26,1,Sweet,2,N/A,N/A
"Grilled Chicken Garlic Aglio Olio Snack Box",1099,1,13.5,1,Pasta,0,N/A,N/A
"Choc Banana Espresso Cake",161,1,59,1,Signature,5,N/A,N/A
"8"" R - Chocolate Matcha Cake",165-1,1,56.7,1,"Cakes, Same Day Order, Signature",0,N/A,N/A
"Classic Chocolate Chip Cookie",806,1,9.8,1,"Cookies, Same Day Order",0,N/A,N/A
"Cherry Pistachio",1088,1,3.2,1,"Cakes, Same Day Order, Slices",0,N/A,N/A
"Eggless Carrot Walnut Cake",176,1,66,1,"Special Diet",5,N/A,N/A
"6""R - Eggless Chocolate Truffle",178-1,1,45,1,"Cakes, Same Day Order, Signature",0,N/A,N/A
"Real Dark Chocolate Cake",188,1,56.7,1,Signature,6,N/A,N/A
"8""R Red Velvet Cake",189-1,1,59,1,"Bakery, Cakes, Same Day Order, Signature, Singapore's Favourites",0,N/A,N/A
