Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2020-11-10 13:54:04",5269,processing,new,"1× Chocolate Matcha Cake",1,,63
"2020-11-10 12:43:07",5268,processed,new,"1× 8""R Red Velvet Cake",1,,59
"2020-11-10 12:35:14",5267,processed,new,"1× Burnt Cheesecake",1,,77
"2020-11-10 12:16:44",5266,processed,new,"1× Red Velvet Cake",1,,59
"2020-11-10 08:25:09",5255,processed,new,"1× 8""R - Carrot Walnut Cake, 2× BB04 Cinnamon Swirl, 1× BB02 Wholemeal Walnut, 1× Almond Crunch Cookie",5,,85.1
"2020-11-10 00:13:04",5197,processed,new,"1× Gula Melaka Pandan Cake, 1× BB04 Cinnamon Swirl",2,welcome10,57.78
"2020-11-09 22:48:57",5196,processed,new,"1× Carrot Walnut Cake, 1× BB02 Wholemeal 4 Seeds, 2× Blueberry Crumble Sourcream Cake",4,welcome10,85.41
"2020-11-09 18:59:19",5168,processed,new,"1× 8""R - Carrot Walnut Cake, 1× Noah's Apple Watermelon Mint Juice, 1× Assorted Mini Cheesecake Box [Eggless] [V]",3,welcome10,80.64
"2020-11-09 18:54:52",5167,processed,new,"1× 8""R Red Velvet Cake, 1× BB01 Toasted Granola Yoghurt Sourdough, 1× Tea Cookies Collection",3,welcome10,92.25
"2020-11-09 18:39:59",5166,processed,new,"1× 6""R Ondeh Ondeh Cake",1,welcome10,40.5
"2020-11-09 16:55:53",5159,processed,returning,"2× Cedele Pumpkin Seeds",2,,14
"2020-11-09 16:50:56",5157,processed,new,"1× *Vegan Earl Grey Belgian Chocolate Berries Cake*",1,welcome10,56.7
"2020-11-09 15:14:13",5149,processed,new,"1× Assorted Muffin & Scone Box, 1× Awesome Box, 1× Pulled Pork Avocado Sandwich, 1× Spicy Chicken Yum Pasta, 1× Croissant & Sweet Box, 2× Brownie With Walnut",7,welcome10,82.89
"2020-11-09 14:59:56",5144,processed,new,"2× Almond Semolina Sugee Butter Cake 500g, 1× 7""R Burnt Cheesecake",3,,81
"2020-11-09 14:49:55",5138,pending,returning,"1× BB03 Onion Olive Coriander",1,welcome10,14.95
"2020-11-09 14:46:09",5136,processed,new,"1× Blueberry Maple Cake",1,welcome10,53.1
"2020-11-09 14:26:44",5131,processed,new,"1× Ondeh Ondeh Cake",1,,63
"2020-11-09 12:41:35",5119,completed,new,"1× BB04 Cinnamon Swirl, 1× Garlic & Spring Onion Pull-Apart Loaf, 1× BB04 Hot Cross Buns Bundle, 2× BB02 Wholemeal Walnut, 1× BB04 Milk & Butter Bread, 1× BB04 Tahini Choc Pull-Apart Loaf, 1× Christmas Biscotti, 1× BB04 Brioche",9,,81.2
"2020-11-09 11:48:09",5118,completed,new,"2× Assorted Danish Box, 4× Carrot Walnut Slice, 1× BP03 Blueberry Crumble Muffin Bundle",7,,82
"2020-11-09 11:44:48",5117,processed,new,"1× Chocolate Matcha Cake",1,welcome10,56.7
"2020-11-09 11:20:11",5116,processed,new,"1× Gula Melaka Pandan Cake",1,welcome10,53.1
"2020-11-09 10:56:06",5113,processed,new,"1× Ondeh Ondeh Cake",1,,45
"2020-11-09 09:41:30",5082,completed,new,"1× 7""R Burnt Cheesecake, 1× BB01 Blue Pea Sourdough, 1× BB01 Wholewheat Sourdough, 1× BB04 Hot Cross Buns Bundle, 1× BP04 Cheese Scallion Scone Bundle",5,,81.5
"2020-11-09 09:36:08",5079,processed,new,"1× Vegan Matcha Chocolate Cheesecake",1,,45
"2020-11-09 09:06:59",5067,processed,new,"1× Blueberry Maple Cake",1,,59
