"Product Title",SKU,"Items Sold","N. Revenue",Orders,Category,Variations,Status,Stock
"BC09 Carrot Walnut Slice",124,30,230.3,23,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"BC10 Brownie With Walnut",840,29,106.78,14,"6. Slices &amp; Cupcakes",0,N/A,N/A
"*B02 Christmas Panettone (Family Size)",XMAS022,29,706.02,19,"3. Christmas Bread &amp; Pastries",0,N/A,N/A
"BC01 Real Dark Chocolate Cake - 6""R",188-1,28,1232.99,28,"Same Day Order",0,N/A,N/A
"Carrot Walnut Muffin",,28,66.64,2,Bakery,0,N/A,N/A
"PT01 Noah's Apple Peach Kiwi Fruit Mango Lime Juice Smoothie",552,28,126.5,7,"Beverages, Same Day Order",0,N/A,N/A
"BC02 Black Forest Cake",155,28,1669.35,28,"1. Signature Cakes",5,N/A,N/A
"BC11 Double Chocolate Cupcake",1516,28,117.18,7,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"Blueberry Crumble Muffin",,28,66.64,2,Bakery,0,N/A,N/A
"KS01 Salmon Grain Bowl Snack Box",1100,27,420.8,18,"Salad &amp; Grain Bowl",0,N/A,N/A
"*C05 Christmas Gingerbread Cookies",XMAS002,27,615.96,22,"2. Christmas Cookies",0,N/A,N/A
"BC02 Strawberry Fields Cake",191,27,1620.85,27,"1. Signature Cakes",5,N/A,N/A
"PT01 Noah's Apple Beetroot Orange Carrot Ginger Veggie Juice",551,27,124.2,5,Beverages,0,N/A,N/A
"Cedele Calamansi Honey Juice",,27,87.21,2,Bakery,0,N/A,N/A
"Raspberry Almond Scone",,26,61.88,2,Bakery,0,N/A,N/A
"BC11 Red Velvet Earl Grey Cupcake",1515,26,108.78,9,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"*H07 Canadian Maple Ham",XMAS034,25,2894.45,25,"4. Christmas Hot Food",0,N/A,N/A
"*H03 Honey Cinnamon Glazed Pork Belly",XMAS025,25,2024.35,25,"4. Christmas Hot Food",0,N/A,N/A
"Festive Holiday Set D",,25,9920,25,"*Festive Sets*",0,"In stock",74
"KS01 Grilled Chicken Grain Bowl Snack Box",1101,24,352.5,11,"Salad &amp; Grain Bowl",0,N/A,N/A
"*H11 Rustic Chorizo Bread Stuffing",XMAS030,24,1058.4,23,"4. Christmas Hot Food",0,N/A,N/A
"BC10 Cherry Pistachio",1088,23,72.64,12,"6. Slices &amp; Cupcakes, Cakes, Same Day Order",0,N/A,N/A
"KP01 Grilled Chicken Garlic Aglio Olio Snack Box",1099,23,334.65,14,Pasta,0,N/A,N/A
"*B04 Classic Minced Pie",XMAS007,22,542,21,"3. Christmas Bread &amp; Pastries",2,N/A,N/A
"PT01 Noah's Apple Watermelon Mint Juice",553,22,99.36,8,Beverages,0,N/A,N/A
"BB03 Rustic Baguette",256,21,62.7,13,"3. Rustic Loaves &amp; Buns, Same Day Order",0,N/A,N/A
"BCC1 Oatmeal Cranberry Cookie",850,20,196.25,13,"Cookies, Same Day Order",0,N/A,N/A
"BB02 Wholemeal 4 Seeds",268,20,111.51,15,"2. Wholewheat, Same Day Order",0,N/A,N/A
"*A08 Pumpkin Spice Cake",XMAS020,20,899.4,20,"1. Christmas Cake",0,N/A,N/A
"*H04 Christmas Tomahawk & Meat Platter",XMAS033,20,4145.04,20,"4. Christmas Hot Food",0,N/A,N/A
"BC03 Vegan Matcha Chocolate Cheesecake",220,20,993.75,20,"2. Special Diet Cakes, Vegan",2,N/A,N/A
"*H02 Angus Beef Short Ribs",XMAS028,20,2293.75,17,"4. Christmas Hot Food",0,N/A,N/A
"BB04 Hot Cross Buns Bundle",282,19,214.7,18,"4. Sweet, Same Day Order",0,N/A,N/A
"BP03 2-Berry Muffin Bundle",793,19,224.4,13,"Pastries, Same Day Order",0,N/A,N/A
"BC09 Ondeh Ondeh Slice",138,19,138.9,16,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
