Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2020-11-15 15:42:10",5746,completed,new,"1× Caramel SeaSalt Cheesecake - 6""R, 1× Ondeh Ondeh Cake - 6""R",2,,90
"2020-11-15 15:32:51",5745,pending,new,"1× Roasted Cauliflower (250ml) - Daily, 1× BP04 Cheese Scallion Scone Bundle, 2× Hammy Cheese Thins, 1× Pulled Pork Avocado Sandwich, 1× BP03 2-Berry Muffin Bundle, 4× BC10 Cherry Pistachio, 1× BB04 Cinnamon Swirl, 1× BB04 Milk & Butter Bread",12,,80.3
"2020-11-15 15:31:54",5744,processed,new,"1× BC02 Eggless Chocolate Truffle",1,,45
"2020-11-15 14:49:14",5732,completed,new,"1× BC02 Chocolate Fudge Cake",1,welcome10,56.7
"2020-11-15 14:41:10",5731,completed,returning,"1× BC02 Real Dark Chocolate Cake",1,,45
"2020-11-15 14:24:57",5730,processed,new,"1× BC02 Ondeh Ondeh Cake",1,,45
"2020-11-15 14:10:14",5729,processed,new,"1× *B01 Baby Citrusy Panettone 6's, 1× BC10 Cherry Pistachio, 1× BC10 Chocolate Belgian Marquise, 1× BCC1 Raspberry Thumbprint Cookie",4,welcome10,31.32
"2020-11-15 13:34:52",5725,completed,returning,"1× BC03 Eggless Carrot Walnut Cake",1,,66
"2020-11-15 13:28:33",5724,processed,returning,"1× BC02 Gula Melaka Pandan Cake",1,,59
"2020-11-15 13:20:01",5723,processed,new,"1× *H01 Rosemary & Butter-Roasted Turkey",1,,158
"2020-11-15 13:14:43",5722,processed,returning,"1× *A03 Flourless Chocolate Logcake",1,,58
"2020-11-15 13:09:05",5721,completed,new,"1× BC02 Real Dark Chocolate Cake",1,,45
"2020-11-15 12:27:10",5720,completed,new,"1× BC01 Red Velvet Cake-8""R",1,,59
"2020-11-15 12:17:52",5719,completed,new,"1× BB01 Blue Pea Sourdough",1,,7.5
"2020-11-15 11:36:12",5718,completed,new,"1× BC02 Real Dark Chocolate Cake",1,,45
"2020-11-15 11:19:45",5717,completed,new,"1× BP03 Blueberry Crumble Muffin Bundle, 1× BP03 2-Berry Muffin Bundle, 1× BP03 Carrot Walnut Muffin Bundle",3,,36
"2020-11-15 10:54:44",5716,processed,returning,"1× BC02 Ondeh Ondeh Cake",1,,45
"2020-11-15 10:16:17",5715,processed,new,"1× BC02 Ondeh Ondeh Cake",1,welcome10,56.7
"2020-11-15 09:40:55",5714,processed,new,"1× BC02 Ondeh Ondeh Cake",1,,45
"2020-11-15 09:18:09",5713,processed,new,"1× BC02 Real Dark Chocolate Cake",1,,45
"2020-11-15 09:15:44",5712,processed,new,"1× BC02 Carrot Walnut Cake",1,,59
