"Product Title",SKU,"Items Sold","N. Revenue",Orders,Category,Variations,Status,Stock
"BC09 Red Velvet Slice",142,135,1080,4,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"*C02 Assorted Premium Butter Shortbread",XMAS004,116,2940,4,"2. Christmas Cookies",0,N/A,N/A
"*C01 Assorted Christmas Cookies",XMAS001,110,2772,1,"2. Christmas Cookies",0,N/A,N/A
"*X03 Christmas Tea & Cookies Hamper",XMAS040,47,2115,3,"5. Hamper for Gifts",0,N/A,N/A
"SP02 Awesome Box",1114,24,360,1,"Mix &amp; Match",0,N/A,N/A
"*A03 Flourless Chocolate Logcake",XMAS009,22,1234.4,17,"1. Christmas Cake",0,N/A,N/A
"CORP - Customised",1114-1,20,800,1,"Mix &amp; Match",0,N/A,N/A
"BC02 Carrot Walnut Cake",159,12,754.1,12,"1. Signature Cakes",5,N/A,N/A
"BC02 Ondeh Ondeh Cake",185,11,578,11,"1. Signature Cakes",6,N/A,N/A
"*H05 Classic Sausage Platter",XMAS026,10,590,9,"4. Christmas Hot Food",0,N/A,N/A
"*A02 Lychee Champagne Logcake",XMAS011,10,680,10,"1. Christmas Cake",0,N/A,N/A
"*H01 Rosemary & Butter-Roasted Turkey",XMAS024-1,9,1422,9,"4. Christmas Hot Food",0,N/A,N/A
"*A09 Classic Fruit Cake",XMAS015,9,378,5,"1. Christmas Cake",0,N/A,N/A
"BC01 Carrot Walnut Cake - 8""R",149-1,9,531,9,"1. Signature Cakes, Same Day Order",0,N/A,N/A
"BC02 Chocolate Matcha Cake",165,8,504,8,"1. Signature Cakes",5,N/A,N/A
"SP04 Assorted Mini Savory Tartlets 12s",,7,196,4,Savoury,0,N/A,N/A
"*B03 Christmas Brioche Wreath with Spinach Onion Cheese Dip",XMAS023,7,207,7,"3. Christmas Bread &amp; Pastries",0,N/A,N/A
"BB04 Cinnamon Swirl",281,7,36.4,4,"4. Sweet, Same Day Order",0,N/A,N/A
"BB02 Wholemeal 4 Seeds",268,7,41.3,4,"2. Wholewheat, Same Day Order",0,N/A,N/A
"*A01 Butterscotch Maple Carrot Logcake",XMAS010,6,401.2,5,"1. Christmas Cake",0,N/A,N/A
"BB03 Plain Ciabatta",245,6,29.4,2,"3. Rustic Loaves &amp; Buns, Same Day Order",0,N/A,N/A
"*H13 Curried Kabocha Squash Gratin",XMAS029,6,228,6,"4. Christmas Hot Food",0,N/A,N/A
"KB01 Hearty Meal Box",708,6,95.4,1,"Burgers/Sandwiches, Sharing Platters &amp; Trays",0,N/A,N/A
"*A11 Christmas Brownies Tin",XMAS018,6,165.2,6,"1. Christmas Cake",0,N/A,N/A
"BB02 Wholemeal Walnut",308,6,34.81,3,"2. Wholewheat, Same Day Order",0,N/A,N/A
"BC02 Eggless Chocolate Truffle",178,6,297.5,6,"1. Signature Cakes",7,N/A,N/A
"*H04 Christmas Tomahawk & Meat Platter",XMAS033,5,1140,4,"4. Christmas Hot Food",0,N/A,N/A
"*H06 Morrocan Chicken Rice Pilaf",XMAS027,5,295,5,"4. Christmas Hot Food",0,N/A,N/A
"KSP1 Mushroom Soup (250ml) - Daily",631,5,45,3,Soup,0,N/A,N/A
"*H03 Honey Cinnamon Glazed Pork Belly",XMAS025,5,432,4,"4. Christmas Hot Food",0,N/A,N/A
"BC02 Lychee Rose Cake",184,5,321,5,"1. Signature Cakes",5,N/A,N/A
"BC10 Brownie With Walnut",840,5,19,1,"6. Slices &amp; Cupcakes",0,N/A,N/A
"BB01 Wholewheat Sourdough",305,4,26,3,"1. Sourdough",0,N/A,N/A
"BC01 Red Velvet Cake-7""R",189-1,4,236,4,"1. Signature Cakes, Same Day Order",0,N/A,N/A
"BC10 Chocolate Belgian Marquise",839,4,15.2,1,"6. Slices &amp; Cupcakes",0,N/A,N/A
"BC05 Caramel SeaSalt Cheesecake",216,4,212,4,"3. Cheesecakes",7,N/A,N/A
"SP04 Sliders Box- 6pcs",1103,4,79.2,3,Savoury,0,N/A,N/A
"*H14 Festive Slider Platter",XMAS038-1,4,209,4,"4. Christmas Hot Food",0,N/A,N/A
"BC02 Real Dark Chocolate Cake",188,4,175.5,4,"1. Signature Cakes",6,N/A,N/A
"BC02 Red Velvet Cake",189,4,253.15,4,"1. Signature Cakes",5,N/A,N/A
"BC03 Vegan Matcha Chocolate Cheesecake",220,4,194,4,"2. Special Diet Cakes, Vegan",2,N/A,N/A
"*B02 Christmas Panettone (Family Size)",XMAS022,4,109.2,3,"3. Christmas Bread &amp; Pastries",0,N/A,N/A
"BC03 Vegan Earl Grey Belgian Chocolate Berries Cake",XMAS017,4,252,4,"1. Christmas Cake, 2. Special Diet Cakes, Vegan",0,N/A,N/A
"*B04 Classic Minced Pie",XMAS007,4,124,4,"3. Christmas Bread &amp; Pastries",2,N/A,N/A
"BC02 Choc Banana Espresso Cake",161,4,236,4,"1. Signature Cakes",5,N/A,N/A
"*A04 Hojicha Matcha Yuzu Block Cake",XMAS012-1,4,347.1,4,"*Christmas Catalog*, 1. Christmas Cake",0,N/A,N/A
"*H08 Christmas Salad",XMAS032,4,160,4,"4. Christmas Hot Food",0,N/A,N/A
"BC02 Chocolate Fudge Cake",170,3,218,3,"1. Signature Cakes",5,N/A,N/A
"*C04 Christmas Biscotti",XMAS003,3,84,2,"2. Christmas Cookies",0,N/A,N/A
"BC02 Caramel Sea Salt Tiramisu",158,3,189,3,"1. Signature Cakes",5,N/A,N/A
"BC02 Chocolate Fudge Cake",170,3,218,3,"1. Signature Cakes",5,N/A,N/A
"*C04 Christmas Biscotti",XMAS003,3,84,2,"2. Christmas Cookies",0,N/A,N/A
"BC02 Caramel Sea Salt Tiramisu",158,3,189,3,"1. Signature Cakes",5,N/A,N/A
"BC02 Blueberry Maple Cake",157,3,177,3,"1. Signature Cakes",5,N/A,N/A
"*H09 Lobster & Crab Quiche (9""Round)",XMAS035,3,225,3,"4. Christmas Hot Food",0,N/A,N/A
"BC10 Blueberry Almond Slice",841,3,9.6,1,"6. Slices &amp; Cupcakes",0,N/A,N/A
"BC02 Gula Melaka Pandan Cake",182,3,197.1,3,"1. Signature Cakes",5,N/A,N/A
"BC05 Yuzu Raspberry Cheesecake",221,2,145,2,"3. Cheesecakes, Cakes",6,N/A,N/A
"Festive Holiday Set C",,2,720,2,"*Festive Sets*",0,"In stock",69
"BC09 C'mel Sea Salt Cheesecake Slice",211,2,15,2,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"BC08 Pandan Ogura Cake",197,2,64,2,"5. Sponge Cakes &amp; Desserts",0,N/A,N/A
"BC10 Cherry Pistachio",1088,2,6.4,1,"6. Slices &amp; Cupcakes, Cakes, Same Day Order",0,N/A,N/A
"BP04 Cranberry Scone Bundle",327,2,20,2,Pastries,0,N/A,N/A
"BB03 White Bloomer",267,2,11.6,1,"3. Rustic Loaves &amp; Buns, Same Day Order",0,N/A,N/A
"PT03 Protein Bakeshop Hazelnut Truffles",897,2,16,2,Snacks,0,N/A,N/A
"BB01 Toasted Granola Yoghurt Sourdough",1068,2,15,2,"1. Sourdough",0,N/A,N/A
"BC02 Black Forest Cake",155,2,118,2,"1. Signature Cakes",5,N/A,N/A
"SP04 Mini Croissant Sandwiches",,2,32,1,Savoury,0,N/A,N/A
"*X06 Luxury Christmas Hamper",XMAS044,2,336,2,"5. Hamper for Gifts",0,N/A,N/A
"KB01 Hearty Sandwich Set",,2,25,1,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"BB03 Onion Olive Coriander",252,2,11,2,"3. Rustic Loaves &amp; Buns",0,N/A,N/A
"BC10 Lemon Lust",842,2,7.6,1,"6. Slices &amp; Cupcakes",0,N/A,N/A
"*A05 Black Forest Cheesecake 7""",XMAS014,2,136,2,"1. Christmas Cake",0,N/A,N/A
"*H02 Angus Beef Short Ribs",XMAS028,2,250,2,"4. Christmas Hot Food",0,N/A,N/A
"BB03 Rustic Baguette",256,2,6,2,"3. Rustic Loaves &amp; Buns, Same Day Order",0,N/A,N/A
"*B05 Fig & Pear Gingerbread Minced Pie",XMAS008,2,62,2,"3. Christmas Bread &amp; Pastries",2,N/A,N/A
"*C07 2 x Cookies Sets",,2,100,2,"2. Christmas Cookies",0,N/A,N/A
"BB04 Tahini Choc Pull-Apart Loaf",1588,1,5.31,1,"4. Sweet",0,N/A,N/A
"BC02 Choc Cherry Financier Cake",164,1,92,1,"1. Signature Cakes",5,N/A,N/A
"PT03 Harvest Box Strawberry Milkshake Snack Pack",446,1,2.6,1,Snacks,0,N/A,N/A
"PT02 Cedele Almond Nut Butter",453,1,14,1,"Kitchen Essentials, Vegan",0,N/A,N/A
"BC08 Berry Victoria",199,1,36,1,"5. Sponge Cakes &amp; Desserts",0,N/A,N/A
"KB03 Pulled Pork Avocado Sandwich",654,1,9.5,1,Burgers/Sandwiches,2,N/A,N/A
"BB04 Milk & Butter Bread",249,1,5.8,1,"4. Sweet, Same Day Order",0,N/A,N/A
"BC05 Burnt Cheesecake",795,1,40.5,1,"3. Cheesecakes",3,N/A,N/A
"KB04 Veggie Shrooms Thins",662,1,8.5,1,"Burgers/Sandwiches, Vegan",0,N/A,N/A
"Membership Registration","Membership registration",1,22.5,1,Bakery,0,N/A,N/A
"PT02 Full Green Cauliflower Rice",374,1,6.4,1,"Kitchen Essentials",0,N/A,N/A
"PT02 Cedele Hazelnut Nut Butter",465,1,14,1,"Kitchen Essentials",0,N/A,N/A
"KB03 Smoked Salmon Sandwich",655,1,9.5,1,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"*H15 Plant Base Slider Platter",XMAS037,1,55,1,"4. Christmas Hot Food",0,N/A,N/A
"BC05 Blueberry Hazelnut Cheesecake",215,1,45,1,"3. Cheesecakes",7,N/A,N/A
"KB03 Rosemary Chicken Sandwich",653,1,9.5,1,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"Festive Holiday Set D",,1,500,1,"*Festive Sets*",0,"In stock",74
"PT02 Fix & Fogg Peanut Butter - Smooth",463,1,10,1,"Kitchen Essentials",0,N/A,N/A
"BC09 Carrot Walnut Slice",124,1,8,1,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"BC02 Strawberry Fields Cake",191,1,85,1,"1. Signature Cakes",5,N/A,N/A
"KB03 Pulled Beef Avocado Sandwich",1041,1,9.5,1,"Burgers/Sandwiches, Same Day Order",2,N/A,N/A
"*A08 Pumpkin Spice Cake",XMAS020,1,48,1,"1. Christmas Cake",0,N/A,N/A
"BC02 Peanut Butter Jelly Cake",1577,1,40.5,1,"1. Signature Cakes",6,N/A,N/A
"PT02 Cedele Hazelnut Nut Butter",465,1,14,1,"Kitchen Essentials",0,N/A,N/A
"Membership Registration","Membership registration",1,22.5,1,Bakery,0,N/A,N/A
"PT02 Full Green Cauliflower Rice",374,1,6.4,1,"Kitchen Essentials",0,N/A,N/A
"KB03 Smoked Salmon Sandwich",655,1,9.5,1,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"*H15 Plant Base Slider Platter",XMAS037,1,55,1,"4. Christmas Hot Food",0,N/A,N/A
"BC05 Blueberry Hazelnut Cheesecake",215,1,45,1,"3. Cheesecakes",7,N/A,N/A
"KB03 Rosemary Chicken Sandwich",653,1,9.5,1,"Burgers/Sandwiches, Same Day Order",0,N/A,N/A
"Festive Holiday Set D",,1,500,1,"*Festive Sets*",0,"In stock",74
"BC09 Carrot Walnut Slice",124,1,8,1,"6. Slices &amp; Cupcakes, Same Day Order",0,N/A,N/A
"PT02 Fix & Fogg Peanut Butter - Smooth",463,1,10,1,"Kitchen Essentials",0,N/A,N/A
"BC02 Strawberry Fields Cake",191,1,85,1,"1. Signature Cakes",5,N/A,N/A
"KB03 Pulled Beef Avocado Sandwich",1041,1,9.5,1,"Burgers/Sandwiches, Same Day Order",2,N/A,N/A
"*A08 Pumpkin Spice Cake",XMAS020,1,48,1,"1. Christmas Cake",0,N/A,N/A
"BC02 Peanut Butter Jelly Cake",1577,1,40.5,1,"1. Signature Cakes",6,N/A,N/A
"Almond Frangipane Bun",,1,2.8,1,"4. Sweet, Breads",0,N/A,N/A
"*A06 Burnt Gingerbread Cheesecake 7""",XMAS013,1,38.4,1,"1. Christmas Cake",0,N/A,N/A
"BC07 Banana Walnut Loaf Cake",205,1,18,1,"4. Loaf Cakes",2,N/A,N/A
"BC01 Ondeh Ondeh Cake - 6""R",185-1,1,45,1,"Same Day Order",0,N/A,N/A
"*B01 Baby Citrusy Panettone 6's",XMAS021,1,18,1,"3. Christmas Bread &amp; Pastries",0,N/A,N/A
